#{"t_start": 1553778721.2222703, "env_id": "Snake-v0"}
r,l,t
-10,1,66.568131
-10,34,66.727681
-10,19,66.819174
-10,5,66.84265
-10,2,66.852218
-10,10,66.899674
-10,5,66.923377
-10,19,67.014757
0,33,69.202618
-10,16,69.278403
-10,11,69.331218
-10,6,69.360945
-10,2,69.371248
-10,20,69.470098
0,18,69.554425
-10,1,69.559239
-10,14,69.624863
-10,16,69.702211
-10,10,71.76114
-10,24,71.924422
-10,1,71.931421
-10,4,71.965066
-10,2,71.97921
-10,43,72.261518
-10,6,72.296823
-10,15,72.381995
-10,2,72.392344
-10,9,72.44222
-10,4,72.467649
-10,5,72.500751
0,17,75.215752
-10,24,75.365721
-10,1,75.374292
-10,14,75.461368
-10,10,75.519724
-10,31,75.723655
-10,10,75.784382
-10,2,75.796862
-10,11,75.868658
-10,18,75.980235
0,13,78.637482
-10,16,78.737482
-10,8,78.786793
-10,10,59,79.069271
-10,23,79.212571
-10,8,79.260951
-10,20,82.041371
-10,20,82.181289
-10,3,82.198566
-10,1,82.20523
-10,11,82.2-10,78,82.599052
-10,9,82.660289
-10,8,82.712512
0,10,82.77583
-10,10,82.842901
-10,2,85.572685
-10,7,85.641467
-10,1,85.-10,37,85.846345
-10,1,85.852185
-10,4,85.88703
-10,20,86.040834
-10,31,8-10,59,86.332021
-10,83,89.629485
-10,2,89.640683
-10,1,89.645708
-10,2,89.660609
-10,6,89.699129
-10,71,92.551557
-10,50,92.97102
-10,11,93.03852
-10,15,93.133697
-10,6,93.172774
-10,21,93.300858
-10,3,93.319328
-10,126,96.626366
-10,15,96.720031
-10,2,96.734177
-10,11,99.17573
-10,11,99.289774
-10,37,99.641008
-10,3,99.660504
-10,1,99.667181
0,54,100.003768
-10,23,102.538523
-10,51,103.015167
-10,68,103.433855
-10,27,106.110011
-10,3,106.133362
-10,6,106.186271
-10,1,106.194364
-10,3,106.220983
-10,7,106.286642
-10,5,106.333585
-10,79,109.15879
-10,54,109.673935
-10,21,109.832589
-10,29,110.015117
-10,51,112.805565
-10,6,112.850394
-10,76,113.453619
-10,1,113.460062
-10,36,116.051489
-10,70,116.711619
-10,39,119.133133
-10,19,119.322093
0,36,119.686753
-10,13,119.789541
-10,10,119.871598
0,74,122.656825
-10,58,123.203116
-10,22,123.413109
-10,3,123.438918
-10,4,123.468745
-10,27,125.892831
-10,13,126.002561
-10,10,126.099605
-10,1,126.107669
-10,1,126.118633
-10,15,126.251604
-10,14,126.39357
-10,23,126.615759
-10,78,129.464716
-10,22,129.661915
-10,34,129.974272
0,82,132.763995
-10,25,132.991906
-10,13,133.10989
-10,28,133.389375
-10,2,133.408286
-10,25,135.712063
10,104,136.705805
-10,11,136.810673
0,93,139.714568
-10,2,139.731854
-10,10,139.814588
-10,46,142.369357
-10,49,142.859785
-10,1,142.868074
-10,2,142.895055
-10,12,143.014925
-10,12,143.149504
-10,22,143.346086
-10,37,145.83423
-10,16,145.974174
-10,12,146.085447
-10,17,146.246072
-10,47,146.69625
-10,124,149.953143
-10,113,153.097826
-10,23,153.300423
-10,27,155.674136
-10,10,155.748557
-10,21,155.922776
-10,37,156.289539
-10,8,156.36585
-10,95,159.413268
-10,4,159.464156
-10,197,165.467993
-10,6,165.521599
-10,81,166.257506
-10,79,169.095247
-10,36,169.431518
-10,54,171.997022
-10,1,172.00417
-10,2,172.022931
-10,31,172.312021
-10,9,172.393473
-10,25,172.619226
-10,185,178.578944
-10,6,178.631047
-10,43,179.036978
-10,15,179.172197
0,81,182.009483
-10,80,182.673944
-10,18,182.861492
-10,133,188.20269
-10,2,188.224052
-10,1,188.231093
-10,140,191.559566
-10,24,191.76239
-10,187,195.648081
-10,47,198.103468
-10,606,212.262707
-10,3,212.284665
-10,1,212.291764
-10,4,212.335397
0,126,215.721908
-10,5,215.765292
20,142,221.504092
-10,409,231.944431
0,167,235.605902
0,149,239.789768
0,42,242.543394
-10,72,243.098677
-10,2,243.121628
20,115,246.324943
10,93,249.7154
-10,4,249.7504320,-10,358,260.252664
-10,139,263.6062-10,-10,522,277.009016
-10,9,277.085124
-10,43,277.48-10,1876,325.888139
30,1145,356.993798
30,207,363.240225
0,16,363.336305
-10,329,373.101183
10,160,376.721576
-10,182,380.601404
-10,1942,433.662631
-10,16,433.765853
-10,3,433.782078
-10,5,433.814092
-10,4,433.838436
-10,376,443.944347
-10,28,444.115504
-10,350,454.057136
-10,1,454.063387
-10,11,454.127819
-10,100,457.263559
-10,45,457.545103
-10,416,467.829383
-10,117,471.048712
-10,3,471.078208
-10,829,497.573371
0,150,501.272274
-10,25,501.538014
-10,404,511.768101
0,705,533.551803
10,767,554.835427
0,491,565.744243
-10,11,568.021387
-10,1207,598.534772
10,141,602.082337
0,757,642.200442
-10,18,644.580822
-10,130,647.952395
-10,42,648.250369
-10,116,651.430394
-10,2,651.441996
-10,1358,689.563169
0,218,696.924661
-10,321,707.213997
0,1373,746.137163
0,380,757.480713
0,385,768.944769
0,701,789.694782
10,1304,825.163518
-10,137,829.659358
0,137,833.441346
-10,223,841.21003
-10,72,841.880932
-10,474,855.474646
20,761,876.500515
-10,4,876.534848
-10,165,880.552075
20,400,894.251538
-10,312,901.695764
-10,2,901.710884
10,1253,937.528289
-10,564,952.202067
-10,223,958.680068
0,224,965.57738
-10,71,966.221653
0,503,980.373989
-10,1,980.383439
10,268,987.309173
-10,1,987.314215
-10,13,987.444957
-10,130,990.968451
-10,46,993.670696
-10,103,996.970695
0,51,997.325484
-10,10,997.422512
10,165,1001.187465
0,57,1003.934949
-10,99,1007.276135
0,99,1008.101779
-10,15,1008.235843
-10,10,1010.67795
10,475,1021.829922
-10,2,1021.845521
-10,1162,1053.845776
-10,6,1053.895168
-10,169,1059.958139
-10,6,1060.000002
-10,315,1067.515154
-10,378,1078.298633
-10,152,1082.011751
-10,293,1092.450955
-10,87,1093.328008
0,479,1107.71656
-10,1,1107.726215
30,214,1114.210732
20,959,1139.038343
10,73,1141.869565
10,172,1145.990499
0,108,1150.37846
-10,36,1150.759649
10,460,1165.726339
-10,1119,1197.864496
-10,402,1208.348882
-10,2191,1266.736204
10,1540,1308.014276
-10,619,1335.823705
0,48,1338.797181
-10,991,1363.446001
20,145,1369.736974
-10,95,1370.33987
0,608,1387.811193
-10,1,1387.81927
0,10,1387.885362
-10,3,1387.903835
20,229,1394.777344
10,770,1415.830273
-10,23,1415.96371
-10,1,1415.970589
10,537,1430.200408
20,138,1433.719882
-10,23,1436.606217
-10,111,1437.356296
30,281,1447.162453
-10,9,1447.22207
-10,31,1447.413197
10,183,1451.223906
20,154,1457.586111
30,132,1461.009758
-10,165,1464.722724
-10,1,1464.729048
20,142,1468.311927
-10,397,1478.710899
-10,35,1479.022784
-10,252,1486.072894
-10,12,1489.09313
20,230,1493.275083
-10,3,1493.29844
-10,2,1493.312059
-10,4,1493.340109
