#{"t_start": 1553778789.3029547, "env_id": "Snake-v0"}
r,l,t--1.2,14,2.955562
--11.4,15,3.08137-12-11.5,16,3.225539
-13.1,32,3.590001
-10.7,8,3.664652
-12.1,22,3.81493
-10,1,3.821907
-10.7,8,3.867807
-10.5,6,3.922285
-11.3,14,7.144188
-10.5,6,7.184044
-2.8,30,7.369059
-10.5,6,7.40711
-11.6,17,7.507328
-10.5,6,7.5442
-0.6,8,7.595232
-10,1,7.601388
-1.2,14,7.694006
-10.3,4,7.71925
-10.8,9,7.782016
-10.4,5,7.811357
-10.9,10,7.877533
-10.4,5,7.908704
-10.2,3,10.527776
-10.1,2,10.541112
-10.6,7,10.584664
-10.6,7,10.632189
-11.8,19,10.750956
-10.8,9,10.807497
-10,1,10.814618
-10.6,7,10.8-12.5,2-10.8,9,10.91-10.2,-10.2,3,10.93-10.7,-11.1,12,11.008908
-11.5,16,11.115079
-11.2,13,11.194777
-10.3,4,11.218815
-10.9,10,11.-3.5,37,-10.3,4,11.-0.3,5,-11.7,18,14-11.6,17,-0.8,10,14.-10.9,10-11.5,16,14.263713
-10.8,9,14.32041
-11.0,11,14.386746
-10,1,14.392828
-10.4,5,14.426543
-10.9,10,14.488271
-10.4,5,14.521364
-10.3,4,14.548427
-11.0,11,14.6-12.3,2-10.7,8,14.672842
-10.3,4,14.697728
-10.8,9,14.751774
-10.5,6,14.791099
-11.0,11,17.7416
-11.2,13,17.841259
-10,1,17.85188
-10.7,8,17.917486
-0.5,7,17.968347
-11.1,12,18.059725
-10.7,8,1-13.0,31,1-10.6,7,18-10.3,4,1-10.4,5,18-10.8,9,18.263627
-10.3,4-10-11.9,20,18.3908-10.-11.1,12-12.0,21,18.-10.9,10-12.1,22,18.71668
-10.1,2,21.38-1.0,12,21.440914
-11.2,13,21.528108
-10.4,5,21.55-11.9,20,21.587546
-10.6,7,21.62912
-10.2,3,-13.1,32,21.751853
-10.2,3,2-11.9,-11.3,14,21.81-10.1,-10.5,6,21.84-11.3,-12.1,22,21.9-12.9,30,22.101663
-11.6,17,24.804358
-11.6,17,24.911623
-10.5,6,24.946317
-12.0,21,25.082569
-11.6,17,25.186497
-10,1,25.193522
-10.6,7,25.237167
-11.2,13,25.319082
-12.8,29,25.588248
-10.7,8,25.677055
-14.2,43,28.368153
-10,1,28.375098
-10.1,2,28.387671
-11.4,15,28.483771
-10.5,6,28.524897
-10,1,28.531717
-10.2,3,28.552948
-11.2,13,28.632479
-10.2,3,28.654108
-0.7,9,28.714927
-12.5,26,29.005462
-11.7,18,31.562994
-11.6,17,31.668366
-12.5,26,31.826537
-11.5,16,31.933148
-11.2,13,32.012932
-10.4,5,32.056603
-12.0,21,32.260555
-11.5,16,32.424898
