#{"t_start": 1553770301.462264, "env_id": "Snake-v0"}
r,l,t
-9.7,12,45.212341
-0.4,12,45.263208
-10.3,4,45.28138
-9.8,7,45.311932
-10,1,45.316754
-9.6,61,47.170089
-10.3,4,47.186071
-10.2,3,47.198578
-10.2,13,47.256833
0.2,32,47.399282
-10.2,9,47.437215
-10.3,4,47.453053
-10.2,15,47.51725
-10.1,8,47.550967
-10.1,2,47.559826
--10.8,21,47.601331
-10.4,5,47.62406
-10.5,12,49.2-9.7,44,49.353465
-10.8,15,49.440848
-10.5,6,49.480124
-10,1,49.494829
-10.7,8,-10.3,26,49.712218
-10.7,8,49.794867
-10.2,9,49.893054
-10.3,40,50.296551
-10.2,7,53.533426
-10.2,3,53.552983
-10.1,2,53.573975
-9.5,26,53.811711
-10.6,21,54.022271
-10,1,54.03377
-10.8,19,54.203141
-9.9,2,54.218895
-10.9,82,57.381855
-10.5,8,57.42539
-10.3,6,57.459839
-10.2,13,57.530665
-9.9,4,57.559476
-10.4,9,57.616782
-10.0,39,57.901167
-10,1,57.908785
-10.1,2,57.920432
-10.8,11,57.988036
-10.6,11,60.204238
-10.4,17,60.291825
-9.4,13,60.370149
-10.1,10,60.419835
-10,1,60.425576
-10.3,18,60.565271
-9.4,45,60.841101
-10.1,12,60.906892
-10.1,28,62.823045
-10.0,5,62.844666
-10.4,7,62.876983
-10,1,62.882032
-10,1,62.887409
-10.5,14,62.949481
-9.9,2,62.956944
-10.1,28,63.065533
-10,1,63.070189
-10.2,23,63.185908
-10.0,9,63.2413
1.0,52,65.251558
0.3,5,65.28992
-9.9,10,65.354827
-10.0,13,65.459708
-10.1,2,65.472277
-10.6,19,65.619791
-10.0,19,65.772044
-9.3,12,65.865598
-10.1,18,67.864437
-10.1,6,67.897928
-9.2,11,67.97836
-10.1,4,68.000996
-9.9,14,68.079084
-10.3,12,68.156227
-10.3,4,68.177603
-10.1,2,68.188619
-10.0,17,68.27925
-11.1,24,68.419912
-0.5,21,68.541134
-10.7,46,70.691791
10.4,23,70.834363
-0.9,11,70.89487
-10.5,22,71.023635
-9.9,12,71.088933
